sim	t	arm	reward	cum_reward
50	143	0	1.1916328041961366	93.43205799134122
50	144	1	-0.40691124005686563	93.02514675128435
50	145	0	1.80836799702635	94.8335147483107
50	146	0	0.9538956778214008	95.78741042613211
50	147	0	-1.8413628841247949	93.94604754200732
50	148	0	-1.098829180746772	92.84721836126054
50	149	0	0.21431003927501774	93.06152840053556
50	150	0	-0.161250838447632	92.90027756208794
50	151	0	0.6147880479166035	93.51506561000454
50	152	1	0.1669756340496592	93.6820412440542
50	153	0	-0.2805982339600408	93.40144301009417
50	154	0	0.39013221917240126	93.79157522926657
50	155	0	-0.429880357212003	93.36169487205457
50	156	0	0.5482804816488258	93.9099753537034
50	157	0	-0.5918326726506026	93.3181426810528
50	158	0	0.2547110070238434	93.57285368807665
50	159	0	1.5140113228172392	95.08686501089389
50	160	0	1.1623739994912046	96.2492390103851
50	161	1	1.6365423811041373	97.88578139148923
50	162	0	1.63473511861251	99.52051651010174
50	163	0	1.6487968847933816	101.16931339489513
50	164	0	-0.37161957213228414	100.79769382276284
50	165	0	1.0210342850201606	101.818728107783
50	166	1	1.019379627206508	102.8381077349895
50	167	0	0.0012887742009755065	102.83939650919048
50	168	0	-0.6706750538405725	102.16872145534991
50	169	0	-0.9442761251829993	101.22444533016692
50	170	0	0.0019983689466371857	101.22644369911356
50	171	0	0.5132231335888473	101.73966683270241
50	172	0	0.9997151702530351	102.73938200295545
50	173	0	1.3088006982232017	104.04818270117866
50	174	1	0.8390452095399814	104.88722791071864
50	175	0	0.213797382196928	105.10102529291557
50	176	1	1.523849938211252	106.62487523112682
50	177	0	-0.19618411580135198	106.42869111532546
50	178	1	0.526794800818869	106.95548591614433
50	179	0	1.3070731376283167	108.26255905377265
50	180	0	0.3372058095319738	108.59976486330463
50	181	0	1.0675246445893678	109.667289507894
50	182	0	0.6882393573774058	110.35552886527141
50	183	1	1.2140617041573019	111.56959056942871
50	184	1	1.804755132635834	113.37434570206455
50	185	1	0.701013736220323	114.07535943828486
50	186	1	-0.037653095770625256	114.03770634251424
50	187	1	0.12014536268752374	114.15785170520176
50	188	0	-0.43173066034799434	113.72612104485377
50	189	0	-0.37644302817211084	113.34967801668166
50	190	0	-0.35199728808081276	112.99768072860086
50	191	0	-0.16544651397617427	112.83223421462468
50	192	0	1.0537856341580076	113.88601984878268
50	193	0	1.4538806376479259	115.33990048643061
50	194	1	-1.928925865897268	113.41097462053334
50	195	1	0.33849002734780687	113.74946464788114
50	196	0	0.51374119386045	114.2632058417416
50	197	1	0.919000964966554	115.18220680670815
50	198	1	0.5341188825465557	115.7163256892547
50	199	0	1.6460578997793722	117.36238358903408
50	200	0	1.7471522834082411	119.10953587244232
51	1	1	-0.1320472333311532	-0.1320472333311532
51	2	1	-1.4250851984229207	-1.557132431754074
51	3	1	2.025754094467203	0.468621662713129
51	4	1	1.6828228143332842	2.151444477046413
51	5	1	1.982406744631512	4.133851221677925
51	6	0	1.6851245147112728	5.818975736389198
51	7	0	1.183353775103284	7.002329511492482
51	8	0	1.2142196763972728	8.216549187889754
51	9	1	-0.14584460766567664	8.070704580224078
51	10	0	1.6593367647953463	9.730041345019425
51	11	0	2.0333250100886198	11.763366355108044
51	12	0	-0.2102194762924191	11.553146878815625
51	13	0	-0.2614774507862996	11.291669428029325
51	14	0	0.08270079718243073	11.374370225211756
51	15	0	0.8925470427381592	12.266917267949914
51	16	0	0.45303185553719566	12.71994912348711
51	17	0	1.2608365760675504	13.98078569955466
51	18	1	0.26049998911613964	14.2412856886708
51	19	0	-1.0467765858146385	13.194509102856161
51	20	1	-0.040459439745749504	13.154049663110412
51	21	0	-1.300114867917427	11.853934795192984
51	22	1	0.4390753713183147	12.2930101665113
51	23	0	0.7690059569571884	13.062016123468489
51	24	0	1.4278878514275801	14.48990397489607
51	25	0	1.0029096760906484	15.492813650986719
51	26	1	-1.4376936136674654	14.055120037319254
51	27	1	0.27073753384433985	14.325857571163594
51	28	1	-0.9005866322237255	13.425270938939867
51	29	0	0.7524391384014059	14.177710077341274
51	30	0	-0.5380253059832575	13.639684771358016
51	31	1	-2.87059987593714	10.769084895420876
51	32	0	-0.018089739494561052	10.750995155926315
51	33	0	-0.08555387409489024	10.665441281831425
51	34	0	-0.12682563997158758	10.538615641859838
51	35	0	0.24634879769110518	10.784964439550944
51	36	0	-0.1303872558942868	10.654577183656658
51	37	0	2.244891327227406	12.899468510884063
51	38	0	2.642268646535257	15.54173715741932
51	39	0	0.46945958644726393	16.011196743866584
51	40	0	1.5613030659204643	17.572499809787047
51	41	0	1.2695773628843812	18.842077172671427
51	42	0	1.8269587589225642	20.669035931593992
51	43	0	-0.3983005356551864	20.270735395938807
51	44	0	0.9461508145763373	21.216886210515145
51	45	0	-0.9456607133927774	20.27122549712237
51	46	0	-0.11004338853128848	20.16118210859108
51	47	0	-0.6512423841869933	19.509939724404088
51	48	0	1.6480303840880315	21.15797010849212
51	49	0	-0.1447430217198371	21.013227086772282
51	50	0	-0.028697799984406913	20.984529286787875
51	51	1	1.017858299607176	22.002387586395052
51	52	0	1.9381388003263775	23.94052638672143
51	53	0	0.012957358401417651	23.95348374512285
51	54	0	-0.4667065037186825	23.486777241404166
51	55	0	-0.12117294645259646	23.36560429495157
51	56	0	2.0556297571592017	25.421234052110773
51	57	0	0.7566008928551713	26.177834944965944
51	58	0	-1.0753708290502946	25.10246411591565
51	59	0	0.48989129125133823	25.59235540716699
51	60	0	1.102196078129424	26.694551485296415
51	61	0	1.2794713301876706	27.974022815484087
51	62	1	0.5948114440694742	28.56883425955356
51	63	0	-0.3125518684050791	28.25628239114848
51	64	0	1.212931233850814	29.469213624999295
51	65	0	0.5964161444722652	30.06562976947156
51	66	1	0.9085008775338034	30.974130647005364
51	67	0	1.4927944744127348	32.4669251214181
51	68	0	0.14378588892557037	32.61071101034367
51	69	0	-0.49083985122471174	32.11987115911896
51	70	0	0.5258149491734592	32.645686108292416
51	71	0	0.41775528126898837	33.063441389561405
51	72	0	1.3426825743189506	34.406123963880354
51	73	0	-0.4275605592218531	33.9785634046585
51	74	0	1.030336836149158	35.00890024080766
51	75	0	-1.3981739865378247	33.610726254269835
51	76	0	3.4449489908326743	37.055675245102506
51	77	0	-0.5363880044271835	36.519287240675325
51	78	0	2.2289103431546526	38.74819758382998
51	79	0	2.007401806698908	40.755599390528886
51	80	0	0.7813632250060512	41.53696261553494
51	81	0	2.958923707561933	44.49588632309687
51	82	0	-0.4009011004664321	44.094985222630434
51	83	0	0.6462052452873366	44.74119046791777
51	84	0	-1.0892396069109678	43.6519508610068
51	85	0	1.9468394995834832	45.598790360590286
51	86	0	-1.1327117269994869	44.4660786335908
51	87	0	1.3420938898832304	45.80817252347403
51	88	0	0.8632832402455992	46.67145576371963
51	89	0	0.11043762415088887	46.78189338787052
51	90	0	0.9933327379512303	47.775226125821746
51	91	0	1.3392164503958943	49.11444257621764
51	92	1	-0.017797943735899935	49.09664463248174
51	93	0	0.5215486305345889	49.61819326301633
51	94	1	1.3713445044758443	50.98953776749217
51	95	0	-0.002989200039623996	50.98654856745255
51	96	0	2.537118400689002	53.523666968141555
51	97	0	-1.4995544358979331	52.02411253224362
51	98	0	0.4266083011554863	52.45072083339911
51	99	0	-0.522832471232152	51.92788836216696
51	100	0	0.9654463026795963	52.893334664846556
51	101	0	0.04403431175358552	52.93736897660014
51	102	0	1.6000019655561135	54.53737094215625
51	103	0	-1.7109032882905724	52.82646765386568
51	104	0	0.5554791618844689	53.38194681575015
51	105	0	0.40320787614264864	53.7851546918928
51	106	1	0.7590271419193889	54.54418183381219
51	107	0	-0.4263325754169386	54.11784925839525
51	108	0	1.3095687590856446	55.427418017480896
51	109	0	0.01396849598086658	55.441386513461765
51	110	1	-0.47530231730209194	54.96608419615967
51	111	0	1.5967877761442877	56.56287197230396
51	112	0	1.527273053673825	58.09014502597778
51	113	0	-1.0063341799645413	57.08381084601324
51	114	0	1.011165671334132	58.094976517347376
51	115	0	1.053678651080958	59.148655168428334
51	116	0	-0.5397343436068248	58.60892082482151
51	117	0	0.5628983212040197	59.17181914602553
51	118	0	1.297920284187338	60.46973943021287
51	119	0	-0.023595772979730367	60.44614365723314
51	120	0	-0.7756473744560838	59.67049628277705
51	121	0	0.5880861055209359	60.25858238829799
51	122	0	-0.6488552663131691	59.60972712198482
51	123	0	1.0700701959188732	60.67979731790369
51	124	0	0.824468213382095	61.50426553128579
51	125	0	0.36235314246777206	61.866618673753564
51	126	1	-0.9761556782864389	60.890462995467125
51	127	0	0.9777331673063909	61.868196162773515
51	128	0	0.6137402312867245	62.48193639406024
51	129	0	-1.4872886650244186	60.994647729035826
51	130	0	1.15983645853388	62.15448418756971
51	131	0	-0.19248243618737515	61.96200175138233
51	132	0	1.2768949674334829	63.238896718815816
51	133	0	0.8029292547100901	64.0418259735259
51	134	0	1.1708504632154222	65.21267643674132
51	135	0	0.8335229884027469	66.04619942514407
51	136	0	0.11091456759695306	66.15711399274102
51	137	0	2.28027615519614	68.43739014793715
51	138	0	1.5050928304538465	69.942482978391
51	139	0	0.6842259867485779	70.62670896513957
51	140	0	1.7319977676861238	72.3587067328257
51	141	0	0.7707133129580748	73.12942004578377
51	142	0	3.024920319216057	76.15434036499983
51	143	0	-0.2685007959056117	75.88583956909422
51	144	0	0.062471158976262986	75.94831072807048
51	145	0	-0.5575038114140697	75.39080691665642
51	146	0	0.41861393083541887	75.80942084749184
51	147	0	0.9245079346050324	76.73392878209687
51	148	0	1.5589036704894261	78.2928324525863
51	149	0	1.161677373379797	79.4545098259661
51	150	0	-0.4704423944161399	78.98406743154996
51	151	0	1.5006755603579562	80.48474299190792
51	152	0	-0.8257723353137939	79.65897065659412
51	153	0	2.1916167515717895	81.85058740816591
51	154	0	-0.23232533457922022	81.61826207358669
51	155	0	1.3842771795178002	83.00253925310449
51	156	0	0.7383602542225531	83.74089950732704
51	157	0	-0.4244020194470216	83.31649748788003
51	158	0	1.768129305342549	85.08462679322258
51	159	0	0.24738328177778995	85.33201007500037
51	160	0	1.1124492899924507	86.44445936499282
51	161	0	0.5745743785357358	87.01903374352855
51	162	0	0.19316971196262728	87.21220345549118
51	163	0	2.3469447610177263	89.5591482165089
51	164	0	1.4615732031427737	91.02072141965168
51	165	0	0.7463268928060214	91.7670483124577
51	166	0	2.0480937309514657	93.81514204340917
51	167	0	1.038068783816034	94.8532108272252
51	168	0	-0.7760697480562183	94.07714107916898
51	169	0	1.3786818686227487	95.45582294779173
51	170	0	0.7874260572610495	96.24324900505277
51	171	0	-0.08373090722954268	96.15951809782324
51	172	0	2.1199557136301044	98.27947381145334
51	173	0	0.13674418903149121	98.41621800048483
51	174	0	0.15173841576825675	98.56795641625308
51	175	0	0.10663406607552106	98.6745904823286
51	176	0	-0.4315706288508149	98.24301985347778
51	177	0	0.22685923681728837	98.46987909029507
51	178	0	0.30778822394649663	98.77766731424157
51	179	0	0.626232925986872	99.40390024022844
51	180	0	0.3997250176693706	99.8036252578978
51	181	0	-0.17647778332759878	99.62714747457021
51	182	0	0.4384531698636118	100.06560064443381
51	183	0	1.6030155351555515	101.66861617958936
51	184	0	1.1425110492657204	102.81112722885509
51	185	0	-0.4070131880288813	102.4041140408262
51	186	1	0.4254104822506336	102.82952452307684
51	187	0	2.252291304800198	105.08181582787704
51	188	0	1.987059280456724	107.06887510833376
51	189	0	-0.3060400457986875	106.76283506253507
51	190	0	1.0239143013919851	107.78674936392706
51	191	0	-0.0787910484462121	107.70795831548085
51	192	0	1.5280925572902029	109.23605087277106
51	193	0	0.035409778308455264	109.27146065107951
51	194	0	-0.3697007016364049	108.9017599494431
51	195	0	0.3850105718302954	109.2867705212734
51	196	0	-0.8417825417419437	108.44498797953145
51	197	0	-1.1496320473660422	107.2953559321654
51	198	0	0.46118499169221605	107.75654092385763
51	199	0	1.1508414268688867	108.90738235072652
51	200	1	-1.3826083967333163	107.5247739539932
52	1	0	0.04953548809152053	0.04953548809152053
52	2	0	0.3762135154030194	0.4257490034945399
52	3	1	1.2206456251330335	1.6463946286275735
52	4	1	-0.26253779983079195	1.3838568287967816
52	5	1	0.4648948487474952	1.8487516775442767
52	6	0	0.2210182095619731	2.0697698871062498
52	7	1	0.21659641373517108	2.286366300841421
52	8	0	-0.36529042764970154	1.9210758731917192
52	9	1	0.6174464339127299	2.538522307104449
52	10	1	-1.0365973065913092	1.5019250005131397
52	11	1	0.19107203901005987	1.6929970395231995
52	12	1	1.9486398582110191	3.6416368977342186
52	13	0	1.2000996209529378	4.841736518687156
52	14	0	0.7958251605619708	5.637561679249127
52	15	1	0.7885809383675287	6.426142617616656
52	16	0	1.4572488314708845	7.88339144908754
52	17	0	0.2992970761700741	8.182688525257614
52	18	1	2.5466788016886084	10.729367326946223
52	19	0	0.9151382152458074	11.64450554219203
52	20	0	-0.6074033084729095	11.037102233719121
52	21	1	0.5656244328035681	11.60272666652269
52	22	1	2.144308606897008	13.747035273419698
52	23	1	0.49801172135317706	14.245046994772874
52	24	1	-0.4135385962822463	13.831508398490628
52	25	1	0.3327551149410609	14.16426351343169
52	26	1	-0.22939531522626722	13.934868198205423
52	27	0	1.4165841276104651	15.351452325815888
52	28	0	-0.7030327811786939	14.648419544637195
52	29	1	-1.0100692862296643	13.638350258407531
52	30	0	0.8196503095093366	14.458000567916867
52	31	0	0.328738600047509	14.786739167964377
52	32	1	0.03187273430574722	14.818611902270124
52	33	1	0.59768760999763	15.416299512267754
52	34	0	-0.6913214943381675	14.724978017929587
52	35	1	-0.8011232669571942	13.923854750972392
52	36	1	2.538150532613348	16.46200528358574
52	37	1	2.901365932636322	19.363371216222063
52	38	1	-0.5211633037593435	18.84220791246272
52	39	1	0.886924609641339	19.72913252210406
52	40	1	0.5645879507479598	20.29372047285202
52	41	1	-1.4558780840378072	18.837842388814213
52	42	0	1.9071050113199064	20.74494740013412
52	43	1	1.031280891390244	21.77622829152436
52	44	0	1.8325033030888291	23.60873159461319
52	45	0	2.5734447573793546	26.182176351992545
52	46	0	1.0601372431010507	27.242313595093595
52	47	0	0.8387526133812794	28.081066208474873
52	48	1	1.2124020228366388	29.29346823131151
52	49	0	1.5050468420067464	30.798515073318256
52	50	0	0.4504743521265758	31.248989425444833
52	51	0	0.797892133197689	32.046881558642525
52	52	0	0.3319052823135543	32.37878684095608
52	53	0	-0.5566313377601276	31.822155503195955
52	54	0	-0.8465950479712049	30.97556045522475
52	55	1	-0.17743666865028507	30.798123786574465
52	56	0	-0.23580156270006725	30.562322223874396
52	57	0	1.41108154754664	31.973403771421037
52	58	1	0.1203561196993268	32.093759891120364
52	59	0	0.4778291638594922	32.57158905497985
52	60	0	-1.226344999127436	31.34524405585242
52	61	1	2.955204001862583	34.300448057715
52	62	1	0.5933122554504509	34.89376031316545
52	63	1	0.27855635508271437	35.172316668248165
52	64	1	1.543276409314451	36.715593077562616
52	65	1	-0.03219629179381178	36.68339678576881
52	66	1	2.7470191928691206	39.430415978637924
52	67	0	1.2819801641991573	40.71239614283708
52	68	1	1.2527739942304614	41.96517013706754
52	69	0	-0.6574495879801926	41.30772054908734
52	70	1	1.1080707071851785	42.41579125627252
52	71	1	0.2508150011287231	42.66660625740124
52	72	1	-0.12405858816077542	42.54254766924046
52	73	0	1.640071857782341	44.1826195270228
52	74	1	1.4629776297287251	45.64559715675153
52	75	1	-1.0590123820334711	44.586584774718055
52	76	1	1.146262537025854	45.73284731174391
52	77	1	0.22769254730163013	45.96053985904554
52	78	1	1.1266786451870723	47.08721850423261
52	79	1	1.19803285303276	48.285251357265366
52	80	1	0.4583648467122794	48.743616203977645
52	81	1	-1.0842314278763827	47.65938477610126
52	82	1	1.3900611839876134	49.049445960088875
52	83	0	1.068015191561633	50.11746115165051
52	84	0	-0.6139204230332646	49.503540728617246
52	85	1	-0.5707014929408356	48.93283923567641
52	86	1	1.1794506007184569	50.112289836394865
52	87	1	-0.5441039936463272	49.56818584274854
52	88	0	0.5786246347149799	50.14681047746352
52	89	0	-1.6611451674225108	48.48566531004101
52	90	0	1.216544722502767	49.702210032543775
52	91	0	0.7135609247516306	50.41577095729541
52	92	0	2.6956186116663763	53.11138956896178
52	93	0	-0.08076362036780482	53.03062594859398
52	94	1	0.1766247768637904	53.20725072545777
52	95	1	0.7379413970262391	53.94519212248401
52	96	1	0.21574098816030896	54.160933110644315
52	97	1	0.1929548806319369	54.35388799127625
52	98	1	1.1489653934789499	55.502853384755205
52	99	1	-0.7667778057255554	54.73607557902965
52	100	1	-0.9172641859800188	53.818811393049636
52	101	1	0.03953607935903225	53.85834747240867
52	102	0	-0.1947961649202231	53.66355130748845
52	103	0	1.1420582964047339	54.80560960389318
